name;Цена;Порционность;;;Белки;Жиры;Углеводы;Витамин C;Витамин B1;Витамин E;Витамин B3 (PP);Железо;Витамин А;Натрий;Магний;Витамин B2;Калорийность;Калий;Кальций;Фосфор;Холестерин;Клетчатка
Сыр Камамбер;50;0;0,7;3;15,3;28,8;0,1;0,4;0,05;0,3;5,6;0,3;303;800;15;0,42;324;75;510;390;78;0
Сыр Пармезан;28;0;0,7;3;35,7;25,8;0,8;0;0,04;0,2;5,6;0,82;207;1376;44;0,33;392;92;1184;694;0;0
Сыр Российский 50%;31;0;0,7;3;23,2;29,5;0;0,7;0,04;0,5;6,1;0,1;288;810;35;0,3;364;88;880;500;88;0
Сыр Сулугуни;38;0;0,7;3;20,5;22;0,4;0,7;0,06;0,3;5,5;0,6;128;1050;35;0,5;286;100;650;420;61;0
Сыр Фета;23;0;0,7;3;14,2;21,3;4,1;0;0,15;0,18;5,7;0,65;125;917;19;0,84;264;62;493;337;0;0
Сыр Чеддер 50%;39;0;0,7;3;23,5;30,8;0;0,7;0,05;0,6;6,1;0,1;277;850;54;0,38;380;116;1000;545;94;0
Сыр Швейцарский 50%;33;0;0,7;3;24,6;31,6;0;0,6;0,05;0,6;6,5;0,8;300;750;45;0,5;391;100;930;650;96;0
Творог нежирный;15;0;2;4;22;0,6;3,3;0,5;0,04;0;4;0,3;0;44;24;0,25;110;117;120;189;2;0
Яйцо куриное;7,5;0,5;1;5;12,7;11,5;0,7;0;0,07;0,6;3,6;2,5;260;134;12;0,44;157;140;55;192;570;0
Яйцо перепелиное;10;0,1;3;8;11,9;13,1;0,6;0;0,11;0,9;3,1;3,2;483;115;32;0,65;168;144;54;218;600;0
Халва подсолнечная;6;0;0,7;3;11,6;29,7;54;0;0,8;0;6,4;3,2;0;87;178;0,1;516;351;211;292;0;2
Шоколад горький;17;0;0,5;3;6,2;35,4;48,2;0;0,03;0,8;2,1;5,6;0;8;133;0,07;539;363;45;170;0;7,4
Шоколад молочный;25;0;0,5;3;9,8;34,7;50,4;0;0,08;0,8;2,6;1,5;22;136;68;0,45;554;462;352;309;15;1,3
Мёд пчелиный;12;0;0,5;3;0,8;0;80,3;0;0,01;0;0,4;0,8;0;10;3;0,03;328;36;14;18;0;0
Горбуша;18;0;2;4;20,5;6,5;0;0,9;0,2;1,5;8,1;0,6;30;70;30;0,16;140;335;20;200;60;0
Икра горбуши;300;0;1;3;30,6;11,5;1;2,5;0,5;2,5;7,5;2;250;2245;141;0,4;230;85;75;426;310;0
Икра красная зернистая;150;0;1;3;31,5;13,2;1;2,4;0,55;3;7,8;1,8;450;2284;129;0,42;249;90;90;490;310;0
Икра минтая;60;0;1;3;27,9;1,8;1,1;2;0,67;2;6;1,5;40;2206;35;0,22;132;60;35;230;250;0
Кальмар;30;0;2;4;18;2,2;2;1,5;0,18;2,2;7,6;1,1;0;110;90;0,09;100;280;40;250;85;0
